date,time,place,item,type,recyclability,sorted_status
2024-03-18,12:38,par13,banana peel,Organic,bio-degradable,Sorted
2024-05-10,12:40,par6,drink can,Metal,Recyclable,Unsorted
2024-05-29,12:42,par13,drink can,Metal,Recyclable,Unsorted
2024-04-25,16:31,par13,wrapper,Plastic,non-recyclable,Unsorted
2024-02-12,13:04,par6,banana peel,Organic,bio-degradable,Unsorted
2024-02-08,12:57,par13,paper,Paper,Recyclable,Unsorted
2024-04-19,10:20,par14,carton,Paper,Recyclable,Unsorted
2024-03-25,11:54,par6,paper cup,Paper,Recyclable,Unsorted
2024-04-23,13:21,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-01-15,13:41,par6,cardboard,Paper,Recyclable,Unsorted
2024-05-23,13:44,par6,coffee cup,Paper,Recyclable,Sorted
2024-03-21,12:33,par6,drink can,Metal,Recyclable,Sorted
2024-06-06,12:50,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-06,12:58,lobby,clear water bottle,Plastic,Recyclable,Sorted
2024-01-26,13:31,vending machine,paper,Paper,Recyclable,Unsorted
2024-03-25,13:18,par13,coffee cup,Paper,Recyclable,Unsorted
2024-03-26,16:24,par14,paper cup,Paper,Recyclable,Unsorted
2024-03-19,14:38,par6,paper cup,Paper,Recyclable,Sorted
2024-01-31,11:51,par6,paper cup,Paper,Recyclable,Sorted
2024-01-15,15:03,lobby,coffee cup,Paper,Recyclable,Sorted
2024-05-08,11:38,par14,banana peel,Organic,bio-degradable,Sorted
2024-05-23,11:51,par13,wrapper,Plastic,non-recyclable,Unsorted
2024-04-17,10:30,par6,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-29,11:41,par14,drink can,Metal,Recyclable,Unsorted
2024-04-23,12:27,par13,glass bottle,Glass,Recyclable,Unsorted
2024-02-07,13:19,lobby,plastic film,Plastic,non-recyclable,Unsorted
2024-02-14,13:10,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-04-03,13:31,par14,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-26,13:03,par6,banana peel,Organic,bio-degradable,Unsorted
2024-03-12,13:02,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-03-08,15:38,vending machine,carton,Paper,Recyclable,Unsorted
2024-04-17,17:29,par13,food,Organic,bio-degradable,Unsorted
2024-06-05,12:31,vending machine,paper,Paper,Recyclable,Sorted
2024-02-14,12:59,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-01-08,13:12,lobby,food,Organic,bio-degradable,Unsorted
2024-05-21,11:41,par13,paper cup,Paper,Recyclable,Unsorted
2024-06-04,15:49,par13,glass bottle,Glass,Recyclable,Unsorted
2024-05-02,16:07,par14,coffee cup,Paper,Recyclable,Unsorted
2024-03-04,15:25,par14,plastic film,Plastic,non-recyclable,Sorted
2024-01-08,13:05,lobby,paper cup,Paper,Recyclable,Unsorted
2024-05-16,13:07,par13,paper cup,Paper,Recyclable,Unsorted
2024-01-29,13:25,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-12,15:41,par13,paper cup,Paper,Recyclable,Unsorted
2024-04-24,13:14,vending machine,food,Organic,bio-degradable,Unsorted
2024-01-23,12:15,par6,carton,Paper,Recyclable,Sorted
2024-03-14,13:10,lobby,carton,Paper,Recyclable,Sorted
2024-05-10,12:36,par13,paper cup,Paper,Recyclable,Unsorted
2024-05-23,12:32,par14,wrapper,Plastic,non-recyclable,Sorted
2024-03-05,12:06,par14,clear water bottle,Plastic,Recyclable,Sorted
2024-01-11,12:15,par14,cardboard,Paper,Recyclable,Sorted
2024-04-10,11:54,lobby,clear water bottle,Plastic,Recyclable,Unsorted
2024-06-12,12:45,par14,paper cup,Paper,Recyclable,Unsorted
2024-01-26,13:11,vending machine,wrapper,Plastic,non-recyclable,Unsorted
2024-05-01,11:50,lobby,wrapper,Plastic,non-recyclable,Unsorted
2024-02-14,11:39,par14,glass bottle,Glass,Recyclable,Sorted
2024-02-15,12:42,lobby,clear water bottle,Plastic,Recyclable,Unsorted
2024-01-11,13:57,par13,paper cup,Paper,Recyclable,Unsorted
2024-03-29,15:37,par14,drink can,Metal,Recyclable,Unsorted
2024-01-01,12:18,lobby,coffee cup,Paper,Recyclable,Unsorted
2024-03-18,15:07,par14,banana peel,Organic,bio-degradable,Unsorted
2024-03-29,12:27,par6,carton,Paper,Recyclable,Unsorted
2024-04-03,12:26,par6,banana peel,Organic,bio-degradable,Unsorted
2024-04-04,15:32,par14,paper cup,Paper,Recyclable,Unsorted
2024-05-16,12:39,par13,cardboard,Paper,Recyclable,Unsorted
2024-05-29,12:21,vending machine,coffee cup,Paper,Recyclable,Sorted
2024-05-21,12:37,par6,wrapper,Plastic,non-recyclable,Sorted
2024-01-12,12:11,par14,glass bottle,Glass,Recyclable,Unsorted
2024-01-17,12:51,par6,clear water bottle,Plastic,Recyclable,Sorted
2024-05-07,13:00,lobby,banana peel,Organic,bio-degradable,Unsorted
2024-04-18,12:05,par6,food,Organic,bio-degradable,Sorted
2024-05-20,11:03,vending machine,cardboard,Paper,Recyclable,Unsorted
2024-05-31,11:57,lobby,plastic film,Plastic,non-recyclable,Unsorted
2024-04-22,14:27,lobby,carton,Paper,Recyclable,Sorted
2024-01-10,12:44,par6,plastic film,Plastic,non-recyclable,Unsorted
2024-04-12,12:04,par14,cardboard,Paper,Recyclable,Unsorted
2024-05-17,12:46,par14,banana peel,Organic,bio-degradable,Sorted
2024-03-01,12:07,par13,paper cup,Paper,Recyclable,Sorted
2024-02-20,12:42,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-01-31,10:29,par13,paper cup,Paper,Recyclable,Unsorted
2024-04-03,10:20,par13,paper,Paper,Recyclable,Unsorted
2024-02-07,11:45,par6,food,Organic,bio-degradable,Unsorted
2024-06-12,12:41,par14,carton,Paper,Recyclable,Unsorted
2024-04-05,12:56,par6,plastic film,Plastic,non-recyclable,Unsorted
2024-03-18,10:13,par14,glass bottle,Glass,Recyclable,Unsorted
2024-06-14,10:38,par13,paper cup,Paper,Recyclable,Unsorted
2024-06-10,13:03,lobby,paper,Paper,Recyclable,Unsorted
2024-01-10,11:51,lobby,coffee cup,Paper,Recyclable,Unsorted
2024-05-01,13:41,par6,paper cup,Paper,Recyclable,Sorted
2024-02-01,11:43,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-13,16:19,par14,paper,Paper,Recyclable,Unsorted
2024-03-22,13:19,par13,paper cup,Paper,Recyclable,Sorted
2024-02-09,11:59,vending machine,wrapper,Plastic,non-recyclable,Sorted
2024-02-27,13:14,par6,banana peel,Organic,bio-degradable,Unsorted
2024-04-10,12:40,par14,cardboard,Paper,Recyclable,Unsorted
2024-02-05,12:35,lobby,carton,Paper,Recyclable,Sorted
2024-01-15,12:01,par6,clear water bottle,Plastic,Recyclable,Sorted
2024-02-27,12:13,lobby,food,Organic,bio-degradable,Unsorted
2024-03-26,15:38,par6,coffee cup,Paper,Recyclable,Sorted
2024-01-02,13:37,par6,banana peel,Organic,bio-degradable,Unsorted
2024-06-07,11:28,lobby,glass bottle,Glass,Recyclable,Sorted
2024-01-26,12:31,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-01-01,13:31,lobby,drink can,Metal,Recyclable,Unsorted
2024-03-20,15:47,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-02-07,13:48,par13,food,Organic,bio-degradable,Unsorted
2024-01-19,13:32,lobby,paper,Paper,Recyclable,Unsorted
2024-04-10,12:45,par14,carton,Paper,Recyclable,Sorted
2024-06-06,13:10,lobby,clear water bottle,Plastic,Recyclable,Unsorted
2024-02-02,15:45,par13,paper cup,Paper,Recyclable,Unsorted
2024-01-23,11:40,par6,food,Organic,bio-degradable,Unsorted
2024-06-05,13:25,par14,food,Organic,bio-degradable,Sorted
2024-05-17,12:15,vending machine,wrapper,Plastic,non-recyclable,Unsorted
2024-04-16,13:31,par6,banana peel,Organic,bio-degradable,Unsorted
2024-04-30,10:57,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-01-17,13:04,lobby,coffee cup,Paper,Recyclable,Unsorted
2024-04-01,18:41,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-10,12:51,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-14,12:20,vending machine,glass bottle,Glass,Recyclable,Unsorted
2024-01-03,12:03,vending machine,food,Organic,bio-degradable,Sorted
2024-02-01,12:23,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-06-12,10:07,par13,drink can,Metal,Recyclable,Unsorted
2024-02-26,12:37,par13,wrapper,Plastic,non-recyclable,Unsorted
2024-03-20,12:45,par6,cardboard,Paper,Recyclable,Sorted
2024-05-20,13:41,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-23,13:16,par13,paper,Paper,Recyclable,Unsorted
2024-06-12,12:26,par6,carton,Paper,Recyclable,Sorted
2024-01-18,11:05,par6,paper cup,Paper,Recyclable,Sorted
2024-04-08,15:04,par13,paper cup,Paper,Recyclable,Unsorted
2024-04-08,12:54,par6,plastic film,Plastic,non-recyclable,Sorted
2024-01-16,13:16,par14,glass bottle,Glass,Recyclable,Sorted
2024-01-31,12:49,par13,drink can,Metal,Recyclable,Unsorted
2024-01-08,10:55,par13,glass bottle,Glass,Recyclable,Unsorted
2024-01-26,12:21,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-13,12:17,par6,wrapper,Plastic,non-recyclable,Sorted
2024-02-02,11:29,lobby,food,Organic,bio-degradable,Sorted
2024-06-14,13:37,vending machine,carton,Paper,Recyclable,Unsorted
2024-04-03,13:13,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-05-16,17:40,lobby,banana peel,Organic,bio-degradable,Unsorted
2024-03-18,18:03,par6,banana peel,Organic,bio-degradable,Sorted
2024-02-14,15:05,lobby,glass bottle,Glass,Recyclable,Sorted
2024-04-19,15:13,lobby,wrapper,Plastic,non-recyclable,Unsorted
2024-06-12,13:00,par14,paper cup,Paper,Recyclable,Sorted
2024-02-08,10:24,par6,carton,Paper,Recyclable,Unsorted
2024-05-16,11:40,par6,coffee cup,Paper,Recyclable,Sorted
2024-05-24,14:36,vending machine,cardboard,Paper,Recyclable,Unsorted
2024-04-03,12:40,lobby,food,Organic,bio-degradable,Unsorted
2024-01-18,15:36,par14,paper cup,Paper,Recyclable,Sorted
2024-05-28,15:21,lobby,wrapper,Plastic,non-recyclable,Sorted
2024-02-13,12:12,par14,coffee cup,Paper,Recyclable,Unsorted
2024-03-08,11:50,par6,coffee cup,Paper,Recyclable,Sorted
2024-06-03,11:33,vending machine,drink can,Metal,Recyclable,Sorted
2024-05-21,17:18,par6,banana peel,Organic,bio-degradable,Unsorted
2024-04-05,12:53,lobby,glass bottle,Glass,Recyclable,Sorted
2024-02-02,12:10,par13,drink can,Metal,Recyclable,Unsorted
2024-03-28,12:18,par6,drink can,Metal,Recyclable,Unsorted
2024-04-11,12:31,lobby,carton,Paper,Recyclable,Sorted
2024-01-18,15:57,par6,cardboard,Paper,Recyclable,Unsorted
2024-06-04,15:24,lobby,coffee cup,Paper,Recyclable,Sorted
2024-03-06,12:56,lobby,paper,Paper,Recyclable,Unsorted
2024-01-17,13:11,par14,paper cup,Paper,Recyclable,Sorted
2024-01-26,12:19,vending machine,paper cup,Paper,Recyclable,Unsorted
2024-04-22,11:15,lobby,glass bottle,Glass,Recyclable,Sorted
2024-02-29,12:14,lobby,carton,Paper,Recyclable,Sorted
2024-05-31,12:46,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-26,12:21,lobby,glass bottle,Glass,Recyclable,Unsorted
2024-03-29,14:48,par14,paper,Paper,Recyclable,Unsorted
2024-02-02,12:35,par6,plastic film,Plastic,non-recyclable,Unsorted
2024-01-11,16:06,par14,wrapper,Plastic,non-recyclable,Unsorted
2024-05-27,13:03,par6,coffee cup,Paper,Recyclable,Unsorted
2024-06-07,13:19,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-03,10:12,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-30,12:50,par14,glass bottle,Glass,Recyclable,Unsorted
2024-01-25,12:04,par13,paper cup,Paper,Recyclable,Unsorted
2024-04-18,13:12,par6,cardboard,Paper,Recyclable,Unsorted
2024-02-26,12:19,lobby,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-21,15:53,par14,drink can,Metal,Recyclable,Sorted
2024-06-11,12:10,par13,wrapper,Plastic,non-recyclable,Unsorted
2024-03-11,15:31,lobby,clear water bottle,Plastic,Recyclable,Sorted
2024-03-14,13:06,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-05-14,17:23,par13,cardboard,Paper,Recyclable,Unsorted
2024-05-01,14:54,lobby,wrapper,Plastic,non-recyclable,Unsorted
2024-05-29,15:49,par6,drink can,Metal,Recyclable,Unsorted
2024-04-18,14:55,par13,paper cup,Paper,Recyclable,Unsorted
2024-03-27,12:45,par14,plastic film,Plastic,non-recyclable,Sorted
2024-05-22,13:26,par6,banana peel,Organic,bio-degradable,Sorted
2024-05-16,12:45,lobby,wrapper,Plastic,non-recyclable,Unsorted
2024-06-14,15:52,par6,wrapper,Plastic,non-recyclable,Sorted
2024-03-06,12:12,lobby,carton,Paper,Recyclable,Unsorted
2024-01-08,13:38,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-10,17:31,par6,food,Organic,bio-degradable,Sorted
2024-06-06,12:06,par6,carton,Paper,Recyclable,Unsorted
2024-01-29,15:54,lobby,food,Organic,bio-degradable,Unsorted
2024-05-23,11:22,par13,wrapper,Plastic,non-recyclable,Sorted
2024-03-25,13:18,par6,plastic film,Plastic,non-recyclable,Unsorted
2024-02-06,12:38,lobby,banana peel,Organic,bio-degradable,Sorted
2024-01-19,12:14,lobby,drink can,Metal,Recyclable,Sorted
2024-03-29,11:47,par13,wrapper,Plastic,non-recyclable,Sorted
2024-04-29,10:54,par13,cardboard,Paper,Recyclable,Unsorted
2024-02-19,12:12,par6,paper cup,Paper,Recyclable,Unsorted
2024-02-28,13:32,lobby,banana peel,Organic,bio-degradable,Sorted
2024-02-01,11:50,lobby,paper cup,Paper,Recyclable,Sorted
2024-01-24,11:54,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-02-15,11:51,par13,paper cup,Paper,Recyclable,Unsorted
2024-06-14,10:44,par14,carton,Paper,Recyclable,Sorted
2024-06-06,13:30,par14,banana peel,Organic,bio-degradable,Unsorted
2024-05-08,15:49,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-15,15:42,par6,food,Organic,bio-degradable,Unsorted
2024-05-17,13:34,vending machine,drink can,Metal,Recyclable,Unsorted
2024-06-10,11:45,lobby,banana peel,Organic,bio-degradable,Sorted
2024-01-18,13:33,par14,glass bottle,Glass,Recyclable,Sorted
2024-01-08,12:56,par14,wrapper,Plastic,non-recyclable,Sorted
2024-02-16,12:34,lobby,wrapper,Plastic,non-recyclable,Sorted
2024-03-26,13:12,par13,cardboard,Paper,Recyclable,Sorted
2024-02-12,18:21,par6,drink can,Metal,Recyclable,Unsorted
2024-05-22,11:40,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-03-18,11:29,vending machine,carton,Paper,Recyclable,Sorted
2024-05-02,10:41,par6,clear water bottle,Plastic,Recyclable,Unsorted
2024-06-13,11:41,par14,clear water bottle,Plastic,Recyclable,Sorted
2024-04-18,18:13,lobby,banana peel,Organic,bio-degradable,Unsorted
2024-03-15,16:11,par13,drink can,Metal,Recyclable,Unsorted
2024-02-12,13:18,vending machine,drink can,Metal,Recyclable,Unsorted
2024-05-07,11:52,par6,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-01,15:28,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-01-17,12:29,par13,paper cup,Paper,Recyclable,Unsorted
2024-01-03,11:01,par13,coffee cup,Paper,Recyclable,Unsorted
2024-01-12,13:05,par13,banana peel,Organic,bio-degradable,Unsorted
2024-06-04,18:04,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-04-11,15:14,par6,plastic film,Plastic,non-recyclable,Unsorted
2024-05-31,13:14,par13,paper cup,Paper,Recyclable,Unsorted
2024-06-03,12:18,par13,paper cup,Paper,Recyclable,Unsorted
2024-03-13,12:56,par14,drink can,Metal,Recyclable,Sorted
2024-05-22,12:35,par14,plastic film,Plastic,non-recyclable,Sorted
2024-01-03,12:52,par13,drink can,Metal,Recyclable,Sorted
2024-04-03,12:50,lobby,coffee cup,Paper,Recyclable,Unsorted
2024-01-03,13:02,lobby,carton,Paper,Recyclable,Unsorted
2024-03-14,13:05,vending machine,glass bottle,Glass,Recyclable,Sorted
2024-01-02,12:36,par6,plastic film,Plastic,non-recyclable,Sorted
2024-04-08,12:17,par13,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-10,11:06,par14,clear water bottle,Plastic,Recyclable,Sorted
2024-04-17,11:53,par13,coffee cup,Paper,Recyclable,Unsorted
2024-02-14,12:06,par13,glass bottle,Glass,Recyclable,Unsorted
2024-05-22,11:39,par6,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-28,12:53,lobby,coffee cup,Paper,Recyclable,Unsorted
2024-01-15,17:08,par6,glass bottle,Glass,Recyclable,Unsorted
2024-01-18,13:39,par14,banana peel,Organic,bio-degradable,Sorted
2024-04-03,12:18,vending machine,paper,Paper,Recyclable,Sorted
2024-03-06,12:35,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-28,13:45,vending machine,plastic film,Plastic,non-recyclable,Sorted
2024-04-18,12:50,par6,food,Organic,bio-degradable,Sorted
2024-04-09,12:55,par13,coffee cup,Paper,Recyclable,Unsorted
2024-04-23,12:04,par14,cardboard,Paper,Recyclable,Sorted
2024-05-20,12:21,par6,paper cup,Paper,Recyclable,Unsorted
2024-01-08,13:12,par6,carton,Paper,Recyclable,Unsorted
2024-03-22,13:21,lobby,wrapper,Plastic,non-recyclable,Sorted
2024-05-10,12:35,par14,clear water bottle,Plastic,Recyclable,Sorted
2024-05-27,12:37,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-21,12:27,par6,paper,Paper,Recyclable,Unsorted
2024-05-02,12:55,par6,plastic film,Plastic,non-recyclable,Unsorted
2024-05-03,13:24,lobby,cardboard,Paper,Recyclable,Sorted
2024-04-26,10:19,par13,paper cup,Paper,Recyclable,Sorted
2024-03-26,12:57,par14,paper cup,Paper,Recyclable,Sorted
2024-06-11,10:24,lobby,banana peel,Organic,bio-degradable,Unsorted
2024-03-20,10:49,par13,clear water bottle,Plastic,Recyclable,Unsorted
2024-02-26,13:03,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-27,11:27,lobby,cardboard,Paper,Recyclable,Unsorted
2024-06-12,12:53,lobby,coffee cup,Paper,Recyclable,Sorted
2024-03-04,12:13,par13,coffee cup,Paper,Recyclable,Unsorted
2024-05-01,12:17,par14,glass bottle,Glass,Recyclable,Sorted
2024-02-22,12:39,par6,coffee cup,Paper,Recyclable,Sorted
2024-06-05,11:21,vending machine,glass bottle,Glass,Recyclable,Unsorted
2024-03-20,13:04,par6,food,Organic,bio-degradable,Unsorted
2024-06-12,12:00,lobby,glass bottle,Glass,Recyclable,Sorted
2024-01-15,12:42,lobby,coffee cup,Paper,Recyclable,Unsorted
2024-04-26,12:56,par14,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-20,13:27,par6,coffee cup,Paper,Recyclable,Unsorted
2024-04-04,12:32,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-04-29,18:42,vending machine,cardboard,Paper,Recyclable,Sorted
2024-04-30,12:36,vending machine,drink can,Metal,Recyclable,Unsorted
2024-05-10,11:41,lobby,paper,Paper,Recyclable,Unsorted
2024-04-30,13:20,par14,drink can,Metal,Recyclable,Sorted
2024-05-02,15:13,par6,carton,Paper,Recyclable,Unsorted
2024-04-24,12:51,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-05,17:43,par6,paper cup,Paper,Recyclable,Sorted
2024-02-15,13:36,par14,paper cup,Paper,Recyclable,Sorted
2024-05-21,12:34,par13,carton,Paper,Recyclable,Unsorted
2024-01-30,15:16,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-07,12:11,par14,clear water bottle,Plastic,Recyclable,Sorted
2024-04-24,13:19,par13,wrapper,Plastic,non-recyclable,Unsorted
2024-04-09,17:20,lobby,drink can,Metal,Recyclable,Unsorted
2024-03-28,13:34,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-17,12:41,vending machine,drink can,Metal,Recyclable,Sorted
2024-04-22,12:34,par6,paper,Paper,Recyclable,Sorted
2024-02-08,13:02,par6,banana peel,Organic,bio-degradable,Sorted
2024-04-10,14:43,par13,paper cup,Paper,Recyclable,Unsorted
2024-01-09,18:19,par6,plastic film,Plastic,non-recyclable,Unsorted
2024-06-05,12:19,vending machine,wrapper,Plastic,non-recyclable,Unsorted
2024-05-01,12:27,par6,food,Organic,bio-degradable,Sorted
2024-02-02,12:58,par6,cardboard,Paper,Recyclable,Sorted
2024-01-15,13:14,par6,drink can,Metal,Recyclable,Sorted
2024-05-30,12:37,par13,paper,Paper,Recyclable,Unsorted
2024-03-04,13:00,vending machine,coffee cup,Paper,Recyclable,Sorted
2024-04-08,11:48,lobby,cardboard,Paper,Recyclable,Unsorted
2024-02-19,18:16,par6,plastic film,Plastic,non-recyclable,Unsorted
2024-03-22,13:44,lobby,clear water bottle,Plastic,Recyclable,Sorted
2024-03-20,12:20,lobby,glass bottle,Glass,Recyclable,Sorted
2024-02-23,09:51,par14,carton,Paper,Recyclable,Unsorted
2024-05-13,17:34,par14,carton,Paper,Recyclable,Sorted
2024-04-10,12:36,lobby,banana peel,Organic,bio-degradable,Sorted
2024-04-02,12:25,vending machine,paper cup,Paper,Recyclable,Unsorted
2024-05-29,11:57,lobby,glass bottle,Glass,Recyclable,Sorted
2024-02-06,11:18,par14,drink can,Metal,Recyclable,Unsorted
2024-05-15,12:20,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-07,12:33,par14,plastic film,Plastic,non-recyclable,Sorted
2024-03-01,12:56,par6,plastic film,Plastic,non-recyclable,Unsorted
2024-06-13,12:20,par14,plastic film,Plastic,non-recyclable,Unsorted
2024-06-05,14:58,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-06-04,13:18,par13,paper cup,Paper,Recyclable,Sorted
2024-04-11,12:53,par6,paper cup,Paper,Recyclable,Sorted
2024-05-10,12:10,lobby,banana peel,Organic,bio-degradable,Unsorted
2024-03-27,16:10,par14,food,Organic,bio-degradable,Sorted
2024-05-29,15:17,vending machine,glass bottle,Glass,Recyclable,Unsorted
2024-01-04,12:49,lobby,wrapper,Plastic,non-recyclable,Sorted
2024-01-19,14:58,par13,paper cup,Paper,Recyclable,Unsorted
2024-06-12,11:57,par13,paper,Paper,Recyclable,Unsorted
2024-02-08,11:39,vending machine,paper,Paper,Recyclable,Unsorted
2024-02-20,12:54,vending machine,cardboard,Paper,Recyclable,Sorted
2024-05-31,12:02,par13,paper cup,Paper,Recyclable,Sorted
2024-04-18,12:22,par6,banana peel,Organic,bio-degradable,Unsorted
2024-02-29,13:31,par13,paper cup,Paper,Recyclable,Unsorted
2024-06-06,11:12,lobby,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-27,09:51,lobby,food,Organic,bio-degradable,Sorted
2024-04-16,13:18,vending machine,plastic film,Plastic,non-recyclable,Sorted
2024-02-26,12:37,lobby,wrapper,Plastic,non-recyclable,Unsorted
2024-04-02,12:52,par6,plastic film,Plastic,non-recyclable,Unsorted
2024-02-22,11:17,lobby,banana peel,Organic,bio-degradable,Unsorted
2024-06-03,15:57,par14,coffee cup,Paper,Recyclable,Sorted
2024-03-01,13:21,par6,carton,Paper,Recyclable,Unsorted
2024-04-15,13:05,par14,banana peel,Organic,bio-degradable,Sorted
2024-06-03,12:43,lobby,paper cup,Paper,Recyclable,Unsorted
2024-06-04,12:22,vending machine,carton,Paper,Recyclable,Sorted
2024-06-10,12:06,par14,coffee cup,Paper,Recyclable,Sorted
2024-04-09,12:18,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-04-11,11:45,par13,glass bottle,Glass,Recyclable,Unsorted
2024-02-22,12:13,par14,plastic film,Plastic,non-recyclable,Sorted
2024-06-03,17:56,vending machine,drink can,Metal,Recyclable,Unsorted
2024-03-25,15:54,par14,banana peel,Organic,bio-degradable,Sorted
2024-01-25,12:22,par6,clear water bottle,Plastic,Recyclable,Unsorted
2024-06-11,12:59,lobby,plastic film,Plastic,non-recyclable,Sorted
2024-04-11,12:46,par14,clear water bottle,Plastic,Recyclable,Sorted
2024-06-03,12:26,par13,plastic film,Plastic,non-recyclable,Unsorted
2024-02-08,12:25,par14,drink can,Metal,Recyclable,Sorted
2024-03-26,12:51,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-04-17,18:39,par13,drink can,Metal,Recyclable,Unsorted
2024-01-11,12:48,vending machine,banana peel,Organic,bio-degradable,Sorted
2024-04-16,12:59,par6,paper cup,Paper,Recyclable,Unsorted
2024-04-15,15:16,par13,wrapper,Plastic,non-recyclable,Unsorted
2024-03-08,13:24,par14,cardboard,Paper,Recyclable,Sorted
2024-01-31,13:26,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-06-05,12:13,lobby,banana peel,Organic,bio-degradable,Unsorted
2024-04-15,11:56,par14,glass bottle,Glass,Recyclable,Unsorted
2024-04-05,12:53,lobby,paper cup,Paper,Recyclable,Unsorted
2024-01-22,11:08,vending machine,carton,Paper,Recyclable,Unsorted
2024-02-12,19:17,lobby,carton,Paper,Recyclable,Sorted
2024-04-04,12:25,par6,glass bottle,Glass,Recyclable,Unsorted
2024-05-01,18:03,lobby,carton,Paper,Recyclable,Unsorted
2024-04-22,15:22,par13,paper,Paper,Recyclable,Unsorted
2024-03-27,13:08,lobby,clear water bottle,Plastic,Recyclable,Sorted
2024-03-15,11:41,par14,carton,Paper,Recyclable,Sorted
2024-05-21,12:50,vending machine,paper cup,Paper,Recyclable,Sorted
2024-06-13,12:49,lobby,paper cup,Paper,Recyclable,Unsorted
2024-06-06,13:09,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-03-06,11:47,vending machine,carton,Paper,Recyclable,Unsorted
2024-05-17,12:57,par6,coffee cup,Paper,Recyclable,Sorted
2024-05-09,12:31,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-01-01,12:18,par14,banana peel,Organic,bio-degradable,Unsorted
2024-04-11,12:48,lobby,carton,Paper,Recyclable,Sorted
2024-04-02,12:23,par13,plastic film,Plastic,non-recyclable,Unsorted
2024-04-17,12:40,par13,glass bottle,Glass,Recyclable,Unsorted
2024-04-24,13:26,par6,clear water bottle,Plastic,Recyclable,Sorted
2024-02-09,12:12,par13,banana peel,Organic,bio-degradable,Unsorted
2024-04-15,12:42,par6,wrapper,Plastic,non-recyclable,Unsorted
2024-01-08,10:58,par6,drink can,Metal,Recyclable,Sorted
2024-01-12,12:37,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-14,15:00,par6,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-22,11:48,lobby,paper,Paper,Recyclable,Sorted
2024-03-14,12:54,par6,glass bottle,Glass,Recyclable,Unsorted
2024-05-02,12:28,par13,paper cup,Paper,Recyclable,Unsorted
2024-05-23,12:58,par14,wrapper,Plastic,non-recyclable,Unsorted
2024-01-10,11:58,lobby,banana peel,Organic,bio-degradable,Sorted
2024-02-07,12:38,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-19,12:43,par14,paper cup,Paper,Recyclable,Unsorted
2024-01-22,10:08,par6,carton,Paper,Recyclable,Unsorted
